Gender,Age,Annual Income,Spending Score (1-100),Work Experience,Family Size,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
1,53,59000,4,1,3,False,False,False,False,True,False,False,False
1,18,62000,92,9,7,False,False,False,False,False,True,False,False
0,49,91000,14,1,2,False,False,False,False,False,False,True,False
0,21,95000,81,3,4,False,False,False,False,True,False,False,False
0,42,14000,17,5,1,True,False,False,False,False,False,False,False
0,30,62000,73,1,5,False,False,False,False,True,False,False,False
0,36,9000,26,8,2,False,False,False,False,False,False,False,False
0,20,69000,75,8,2,False,False,False,False,False,False,False,False
0,65,25000,35,4,1,False,False,False,False,False,False,False,False
1,24,85000,92,0,2,False,False,False,False,True,False,False,False
1,48,22000,36,14,3,False,False,False,False,False,False,False,False
0,31,33000,61,1,2,False,False,False,False,False,False,False,False
0,49,72000,28,8,1,False,True,False,False,False,False,False,False
0,24,3000,65,4,2,False,False,False,False,False,False,True,False
0,50,52000,55,0,4,False,False,False,False,False,False,False,False
0,27,71000,47,12,1,False,False,False,False,True,False,False,False
0,29,78000,42,0,4,False,False,False,False,True,False,False,False
0,31,25000,42,1,1,False,True,False,False,False,False,False,False
0,49,88000,52,1,2,False,False,False,False,False,False,False,False
1,33,97000,60,1,2,False,False,False,False,False,False,False,False
0,31,74000,54,1,1,False,False,False,False,False,False,False,False
1,59,68000,60,0,2,False,False,True,False,False,False,False,False
0,50,18000,45,1,1,False,False,False,False,False,False,False,True
1,47,95000,41,14,2,False,False,False,False,False,False,False,False
0,51,71000,50,9,4,False,False,False,False,True,False,False,False
1,69,8000,46,8,2,True,False,False,False,False,False,False,False
0,27,57000,51,1,3,False,False,False,False,False,False,False,False
1,53,89000,46,1,6,False,False,False,False,False,False,True,False
1,70,84000,56,0,2,False,False,False,False,False,False,False,False
1,19,50000,55,9,2,False,False,False,False,False,False,False,False
0,67,50000,52,0,3,False,False,False,False,False,False,True,False
0,54,48000,59,1,2,False,False,False,False,False,False,True,False
1,63,63000,51,7,2,False,False,False,False,False,False,True,False
1,18,9000,59,0,2,False,False,True,False,False,False,False,False
0,43,3000,50,0,2,True,False,False,False,False,False,False,False
0,68,82000,48,8,4,False,False,False,False,False,False,False,False
1,19,81000,59,0,4,False,False,False,False,False,False,False,False
0,32,97000,47,2,2,False,False,False,False,False,True,False,False
1,70,91000,55,8,2,False,False,False,False,True,False,False,False
0,47,9000,42,8,2,False,False,True,False,False,False,False,False
0,60,44000,49,0,5,False,False,False,False,False,False,False,False
0,60,10000,56,8,4,False,False,False,False,True,False,False,False
1,59,89000,47,0,4,False,False,False,False,False,False,False,False
1,26,49000,54,0,3,False,False,False,False,False,True,False,False
0,45,67000,53,0,2,True,False,False,False,False,False,False,False
1,40,99000,48,4,3,False,False,False,False,False,False,False,False
0,23,97000,52,2,2,False,True,False,False,False,False,False,False
1,57,52000,51,0,4,False,False,False,False,True,False,False,False
1,38,61000,55,6,3,False,False,False,False,True,False,False,False
1,67,120000,41,8,1,False,False,False,False,False,False,False,False
0,46,34000,44,8,4,False,False,True,False,False,False,False,False
0,21,24000,57,1,3,False,False,False,False,False,False,False,True
1,48,31000,46,7,5,False,False,False,False,True,False,False,False
0,55,11000,58,0,3,False,False,False,False,False,False,False,False
0,22,55000,55,5,2,False,False,False,False,False,False,False,False
0,34,76000,60,7,3,False,False,True,False,False,False,False,False
0,50,56000,46,0,2,True,False,False,False,False,False,False,False
0,68,46000,55,0,3,False,False,True,False,False,False,False,False
1,18,36000,41,1,4,False,False,False,False,False,False,False,False
1,48,88000,49,1,2,False,False,False,False,False,False,False,False
0,40,31000,40,1,2,False,False,True,False,False,False,False,False
0,32,24000,42,0,1,False,False,False,False,False,False,False,False
1,24,80000,52,10,1,False,False,False,False,False,False,False,False
0,47,2000,47,0,1,False,False,False,False,False,False,False,False
0,27,67000,50,0,2,False,False,False,False,False,False,False,False
1,48,58000,42,1,2,True,False,False,False,False,False,False,False
1,20,80000,49,3,3,False,True,False,False,False,False,False,False
0,23,65000,41,0,4,False,False,False,False,False,False,False,False
0,49,4000,48,1,7,False,False,False,True,False,False,False,False
1,67,98000,59,0,3,False,False,False,False,False,False,False,False
1,26,52000,55,0,5,False,False,False,True,False,False,False,False
1,49,86000,56,10,2,False,False,False,False,True,False,False,False
0,21,82000,42,1,2,True,False,False,False,False,False,False,False
0,66,43000,50,3,2,False,False,False,False,False,True,False,False
1,54,78000,46,1,1,False,False,False,False,False,False,True,False
1,68,13000,43,6,5,False,False,False,False,True,False,False,False
1,66,13000,48,9,3,False,False,False,False,True,False,False,False
1,65,34000,52,4,4,False,False,True,False,False,False,False,False
0,19,25000,54,0,1,False,False,False,False,False,False,False,False
0,38,71000,42,1,5,True,False,False,False,False,False,False,False
1,19,2000,46,1,1,False,False,False,False,False,False,False,False
0,18,97000,48,0,3,False,False,False,True,False,False,False,False
0,19,51000,50,8,4,False,False,False,True,False,False,False,False
0,63,9000,43,1,1,False,False,False,False,False,False,True,False
0,49,79000,59,0,2,False,False,False,False,False,False,False,False
0,50,87000,57,1,2,False,False,False,False,False,False,False,False
1,27,36000,56,0,3,False,False,False,True,False,False,False,False
0,38,50000,40,1,4,False,False,False,True,False,False,False,False
0,40,97000,58,9,4,False,True,False,False,False,False,False,False
1,39,6000,91,1,3,False,False,False,False,True,False,False,False
0,23,12000,29,9,2,False,False,True,False,False,False,False,False
0,31,46000,77,1,2,False,False,False,False,False,False,False,True
1,43,89000,35,0,7,False,True,False,False,False,False,False,False
1,40,4000,95,0,2,False,False,False,False,False,False,False,False
1,59,38000,11,0,2,False,True,False,False,False,False,False,False
1,38,64000,75,8,5,False,False,True,False,False,False,False,False
1,47,66000,9,9,5,False,False,False,True,False,False,False,False
1,39,26000,75,0,2,False,False,False,False,False,False,True,False
0,25,41000,34,6,4,False,False,False,False,True,False,False,False
0,31,45000,71,5,1,False,False,False,False,False,False,False,False
1,20,89000,5,1,2,False,True,False,False,False,False,False,False
0,29,92000,88,5,5,False,False,False,True,False,False,False,False
0,44,76000,7,5,2,False,False,False,False,False,False,False,False
1,32,85000,73,3,4,False,False,False,False,False,False,False,False
1,19,22000,10,8,4,False,False,False,False,False,False,False,True
0,35,15000,72,4,4,False,False,False,False,False,False,False,False
0,57,32000,5,0,2,False,True,False,False,False,False,False,False
1,32,66000,93,0,5,False,False,False,False,False,False,False,False
0,28,62000,40,5,3,True,False,False,False,False,False,False,False
0,32,85000,87,1,2,False,False,False,False,False,False,True,False
1,25,71000,12,0,5,False,True,False,False,False,False,False,False
1,28,26000,97,8,5,False,False,False,False,False,False,False,True
1,48,52000,36,9,2,False,True,False,False,False,False,False,False
0,32,38000,74,1,1,False,False,False,False,False,False,True,False
0,34,51000,22,7,4,False,False,False,False,True,False,False,False
1,34,90000,90,6,3,False,False,False,False,False,False,False,False
1,43,30000,17,0,9,False,False,False,False,False,False,True,False
1,39,41000,88,0,1,False,True,False,False,False,False,False,False
0,44,17000,20,0,2,False,True,False,False,False,False,False,False
0,38,92000,76,2,2,False,False,False,False,False,False,False,False
0,47,80000,16,0,4,False,False,False,False,True,False,False,False
0,27,10000,89,8,4,False,False,False,False,False,False,False,True
1,37,16000,1,1,1,False,False,False,True,False,False,False,False
0,30,87000,78,3,4,False,False,False,False,False,False,False,False
1,34,66000,1,1,2,False,False,False,False,False,False,True,False
0,30,86000,73,3,3,False,False,False,False,False,False,False,False
0,56,9000,35,1,1,False,False,False,False,False,False,False,False
0,29,50000,83,1,5,False,False,False,False,True,False,False,False
1,19,35000,5,0,5,False,False,False,True,False,False,False,False
0,31,58000,93,1,5,False,False,False,False,True,False,False,False
1,50,47000,26,0,2,True,False,False,False,False,False,False,False
0,36,54000,75,5,3,False,False,False,False,False,False,False,False
1,42,79000,20,9,3,False,False,False,False,False,True,False,False
0,33,83000,95,0,5,False,False,False,False,False,False,False,False
0,36,57000,27,0,3,False,False,False,False,False,False,False,False
1,32,0,63,2,2,False,False,False,False,False,False,False,False
1,40,69000,13,3,5,False,False,False,False,False,False,False,False
1,28,4000,75,0,2,False,False,False,True,False,False,False,False
1,36,79000,10,0,2,False,False,False,False,False,False,True,False
1,36,99000,92,5,2,False,False,False,False,False,False,False,False
0,52,20000,13,0,2,False,False,False,False,False,False,True,False
0,30,28000,86,3,4,False,False,False,False,False,False,False,False
1,58,29000,15,11,1,False,True,False,False,False,False,False,False
1,27,45000,69,2,6,False,False,False,False,True,False,False,False
1,59,86000,14,4,3,False,False,False,False,True,False,False,False
1,35,42000,90,8,1,False,True,False,False,False,False,False,False
0,37,59000,32,7,2,False,False,False,False,False,False,False,False
0,32,61000,86,7,5,False,False,True,False,False,False,False,False
1,46,11000,15,7,1,False,False,False,False,False,False,False,False
0,29,66000,88,4,4,False,False,False,False,False,False,False,False
0,41,39000,39,1,1,False,False,False,False,False,False,False,False
1,30,72000,97,6,2,False,False,False,False,False,False,False,False
0,54,14000,24,1,2,False,False,False,False,False,False,True,False
1,28,44000,68,5,3,True,False,False,False,False,False,False,False
0,41,76000,17,8,2,False,True,False,False,False,False,False,False
0,36,95000,85,4,2,False,False,False,False,False,False,False,False
0,34,92000,23,5,3,False,False,False,False,False,False,False,False
0,32,98000,69,8,2,False,False,False,False,False,False,False,False
1,33,96000,8,9,2,False,False,False,True,False,False,False,False
0,38,45000,91,10,4,False,False,False,False,False,False,False,False
0,47,8000,16,7,2,False,False,False,False,False,False,False,False
0,35,46000,79,1,3,False,False,False,True,False,False,False,False
0,45,78000,28,0,2,False,False,False,False,False,False,False,False
1,32,4000,74,1,5,False,False,False,False,False,False,False,False
1,32,81000,18,1,2,False,False,False,True,False,False,False,False
1,30,33000,83,4,2,False,False,False,False,False,False,False,False
0,21,40000,10,0,3,False,False,False,False,True,False,False,False
1,34,85000,16,9,3,False,False,False,False,True,False,False,False
0,16,60000,0,6,8,False,True,False,False,False,False,False,False
0,76,60000,39,4,2,False,False,False,False,True,False,False,False
0,62,63000,59,0,2,False,False,True,False,False,False,False,False
0,63,10000,52,8,3,False,False,False,False,True,False,False,False
0,19,55000,61,0,3,False,False,False,False,True,False,False,False
1,46,93000,12,2,1,False,False,False,False,False,False,False,False
0,48,15000,7,0,2,True,False,False,False,False,False,False,False
0,80,39000,33,9,4,False,True,False,False,False,False,False,False
0,1,57000,93,1,2,False,True,False,False,False,False,False,False
0,0,22000,92,2,1,False,False,False,False,False,False,False,False
1,86,12000,70,2,4,False,False,False,False,False,False,False,True
1,49,50000,82,8,1,False,False,False,False,False,False,True,False
1,48,95000,68,2,4,True,False,False,False,False,False,False,False
0,46,66000,70,3,3,False,False,False,False,True,False,False,False
1,79,20000,40,6,2,True,False,False,False,False,False,False,False
0,83,35000,99,8,2,True,False,False,False,False,False,False,False
0,66,71000,34,9,2,False,False,False,True,False,False,False,False
0,39,84000,33,5,3,False,False,False,False,False,False,False,False
0,95,72000,51,4,2,False,True,False,False,False,False,False,False
1,43,33000,55,4,3,False,False,False,False,False,False,False,False
0,93,93000,37,1,5,False,False,False,False,True,False,False,False
0,40,83000,48,4,1,False,False,False,False,False,True,False,False
0,78,23000,8,1,1,False,True,False,False,False,False,False,False
0,25,40000,77,5,4,False,False,False,False,False,False,False,False
1,76,89000,86,9,4,False,False,False,False,True,False,False,False
1,0,33000,64,1,1,False,False,False,False,False,False,False,True
1,15,94000,30,7,2,False,False,False,False,True,False,False,False
0,6,93000,53,8,2,False,False,False,False,False,False,True,False
1,84,7000,28,0,4,False,False,False,False,True,False,False,False
0,67,18000,88,0,2,False,False,False,False,False,False,True,False
0,78,3000,14,0,4,False,False,False,False,True,False,False,False
0,4,84000,54,9,1,False,False,False,False,False,False,False,False
0,29,62000,34,0,4,False,False,False,False,True,False,False,False
1,91,9000,96,1,5,False,False,False,False,True,False,False,False
1,55,37000,74,1,4,False,False,False,False,False,False,True,False
0,14,50000,11,1,2,False,False,False,False,False,False,False,False
1,92,83000,16,1,5,False,False,False,True,False,False,False,False
0,65,79000,17,0,3,False,False,False,False,False,False,False,False
0,84,40000,14,1,4,False,False,False,False,True,False,False,False
0,77,47000,58,0,6,False,False,False,False,False,False,False,False
0,53,4000,20,0,4,False,False,False,False,False,False,False,False
0,28,38000,75,7,2,False,False,True,False,False,False,False,False
1,23,0,96,1,3,True,False,False,False,False,False,False,False
0,32,7000,16,1,2,False,False,False,False,False,False,False,False
0,37,41000,2,1,2,False,False,False,False,False,False,False,False
0,89,65000,0,0,5,False,True,False,False,False,False,False,False
1,80,20000,93,1,3,False,True,False,False,False,False,False,False
0,27,44000,65,8,1,True,False,False,False,False,False,False,False
0,78,3000,14,5,4,False,False,False,False,False,False,False,False
0,86,72000,13,7,3,False,False,False,False,False,False,True,False
0,46,27000,32,4,4,False,True,False,False,False,False,False,False
1,59,85000,49,4,2,False,False,False,False,False,False,True,False
1,12,38000,18,10,1,False,False,False,True,False,False,False,False
1,79,73000,96,6,7,False,False,False,False,False,True,False,False
0,79,64000,64,2,3,False,False,False,False,False,False,False,False
1,26,26000,60,6,4,False,False,False,True,False,False,False,False
0,63,47000,16,2,3,False,False,False,False,False,False,False,False
0,52,35000,85,2,6,True,False,False,False,False,False,False,False
0,32,31000,24,2,3,False,False,False,False,False,False,True,False
0,64,13000,38,3,4,False,True,False,False,False,False,False,False
0,37,79000,10,1,7,False,False,False,False,False,True,False,False
1,7,82000,39,2,2,False,False,True,False,False,False,False,False
0,40,28000,68,1,1,False,False,False,False,False,False,False,False
0,78,36000,79,0,3,False,False,False,False,False,False,False,False
0,34,8000,76,6,6,False,False,True,False,False,False,False,False
0,52,88000,39,1,2,False,False,False,False,False,False,False,False
1,94,91000,36,0,4,False,False,True,False,False,False,False,False
0,1,12000,82,0,3,True,False,False,False,False,False,False,False
0,96,1000,76,0,3,False,False,True,False,False,False,False,False
0,18,143000,99,0,2,False,False,False,False,False,False,False,False
0,37,18000,57,1,2,False,False,False,False,False,False,False,False
1,78,65000,89,1,2,False,False,False,False,False,False,True,False
1,16,9000,88,7,4,False,False,False,True,False,False,False,False
1,93,95000,21,1,1,False,False,False,False,False,False,False,False
0,74,78000,12,9,3,False,True,False,False,False,False,False,False
1,68,48000,73,3,3,False,False,False,False,True,False,False,False
0,32,63000,87,1,4,False,False,False,True,False,False,False,False
0,43,85000,63,1,2,False,False,False,False,False,False,False,True
0,52,43000,58,1,3,False,False,False,False,False,False,False,False
0,63,74000,20,1,2,False,False,False,False,False,False,False,False
0,33,67000,11,0,1,False,False,False,False,True,False,False,False
1,86,59000,40,0,1,False,False,False,False,False,False,False,False
0,85,140000,84,1,1,False,False,True,False,False,False,False,False
0,73,31000,47,1,2,False,False,False,False,True,False,False,False
0,21,5000,91,0,1,False,False,False,False,False,False,False,True
0,93,19000,58,1,3,False,True,False,False,False,False,False,False
1,9,27000,62,7,1,False,False,True,False,False,False,False,False
0,10,68000,80,6,3,True,False,False,False,False,False,False,False
1,11,38000,66,8,8,False,False,False,False,False,False,False,False
0,48,50000,36,6,4,False,True,False,False,False,False,False,False
0,73,80000,73,2,2,False,False,True,False,False,False,False,False
0,66,69000,43,9,3,False,False,False,True,False,False,False,False
0,79,31000,91,3,3,False,True,False,False,False,False,False,False
1,62,87000,41,6,2,True,False,False,False,False,False,False,False
1,17,79000,16,1,3,False,False,False,False,False,False,False,False
1,32,32000,86,5,2,False,False,True,False,False,False,False,False
1,85,153787,100,3,3,False,False,True,False,False,False,False,False
1,31,95851,16,5,2,False,False,False,False,True,False,False,False
0,31,145015,73,6,3,False,False,False,False,True,False,False,False
0,38,148539,7,5,2,False,False,False,False,True,False,False,False
0,90,117319,21,1,2,False,False,False,False,False,False,True,False
0,65,180243,26,6,2,False,False,False,False,False,False,False,True
0,63,165052,12,4,2,False,False,False,False,False,False,False,False
0,61,120487,14,0,2,True,False,False,False,False,False,False,False
1,26,112766,83,8,4,False,True,False,False,False,False,False,False
0,17,156488,65,1,4,False,True,False,False,False,False,False,False
1,56,97562,15,5,6,False,False,False,True,False,False,False,False
0,12,77501,30,5,4,False,True,False,False,False,False,False,False
0,24,118302,100,5,1,False,False,False,False,False,False,True,False
0,13,64277,9,9,4,False,False,False,True,False,False,False,False
1,12,53927,77,2,3,True,False,False,False,False,False,False,False
1,72,93921,93,9,2,False,False,False,False,False,False,True,False
0,54,132046,8,4,4,False,False,False,False,False,True,False,False
1,45,183217,91,7,2,False,False,False,False,False,False,False,False
1,66,182937,44,8,1,False,False,False,False,False,False,False,True
0,27,68272,56,8,4,False,False,False,False,True,False,False,False
1,36,69841,21,10,2,False,True,False,False,False,False,False,False
1,5,69078,60,13,1,False,False,False,False,False,False,True,False
0,89,110667,100,2,4,False,False,False,False,True,False,False,False
1,13,95469,94,6,1,True,False,False,False,False,False,False,False
0,91,102861,40,4,1,False,False,False,False,False,False,False,False
1,16,133551,7,3,1,False,False,False,False,False,False,False,False
0,63,64589,90,7,1,False,True,False,False,False,False,False,False
1,52,152755,39,4,2,False,True,False,False,False,False,False,False
0,37,92313,58,1,5,False,False,False,False,True,False,False,False
0,78,98922,2,2,3,False,False,False,False,False,False,False,False
1,24,165846,33,0,4,False,True,False,False,False,False,False,False
0,4,93713,62,3,4,False,True,False,False,False,False,False,False
1,84,137641,67,0,5,False,False,False,False,True,False,False,False
1,0,173743,96,0,4,False,False,False,False,False,False,False,False
0,67,116126,58,10,2,False,False,True,False,False,False,False,False
0,32,112246,30,8,3,False,False,False,False,True,False,False,False
0,39,69384,75,1,5,False,False,False,False,True,False,False,False
0,68,76529,62,0,2,False,False,False,False,True,False,False,False
0,7,123804,28,14,1,True,False,False,False,False,False,False,False
0,76,68292,55,8,2,False,False,False,False,False,False,False,False
0,84,173185,99,3,1,False,False,False,False,False,False,False,False
1,75,142034,82,1,4,False,False,True,False,False,False,False,False
1,22,107941,61,0,1,False,False,False,False,False,False,False,False
0,90,149840,61,1,1,False,True,False,False,False,False,False,False
0,4,148431,99,1,8,False,False,False,False,True,False,False,False
0,78,126599,84,0,3,False,False,False,False,False,False,True,False
0,58,57180,22,9,1,False,False,False,False,True,False,False,False
0,99,184426,41,9,1,False,False,False,False,False,False,False,False
0,24,151085,39,2,5,False,False,False,False,False,False,False,True
0,88,166107,98,13,4,False,False,False,False,False,False,False,False
0,92,67850,91,9,4,False,False,False,False,False,False,False,False
1,99,173394,4,13,1,False,True,False,False,False,False,False,False
0,51,72303,98,7,1,False,False,False,False,False,False,True,False
1,23,181760,35,14,3,False,False,False,False,True,False,False,False
0,13,146858,75,9,1,True,False,False,False,False,False,False,False
1,22,172923,20,6,1,False,True,False,False,False,False,False,False
0,89,115811,87,11,4,False,False,False,False,False,True,False,False
1,20,184324,51,13,5,False,False,False,False,False,False,False,True
0,72,67353,19,9,3,False,False,False,False,False,False,True,False
1,17,165999,71,9,3,False,False,False,False,True,False,False,False
1,90,164914,18,8,3,False,False,False,False,False,False,False,False
1,99,63364,61,1,2,False,False,True,False,False,False,False,False
0,39,182352,73,4,3,False,True,False,False,False,False,False,False
0,37,148544,56,1,2,False,False,True,False,False,False,False,False
1,46,62833,85,1,2,False,False,False,False,False,False,False,False
1,65,120627,72,0,2,False,False,False,False,True,False,False,False
0,60,130898,30,1,1,False,False,False,False,False,False,False,False
0,93,103130,74,12,3,False,False,False,True,False,False,False,False
1,72,106681,15,9,5,False,False,False,False,True,False,False,False
0,36,87353,25,1,5,False,False,True,False,False,False,False,False
1,52,88046,61,8,1,False,False,False,False,False,False,False,False
0,72,98168,49,1,2,False,False,True,False,False,False,False,False
0,28,178265,5,2,1,False,False,False,False,False,False,True,False
0,48,167232,92,6,4,True,False,False,False,False,False,False,False
1,85,140478,43,6,4,True,False,False,False,False,False,False,False
1,22,159296,83,8,1,False,False,False,False,False,False,False,False
0,30,144043,78,1,1,True,False,False,False,False,False,False,False
1,46,72594,64,1,2,False,False,False,False,False,False,False,False
0,82,180288,77,2,2,False,False,False,False,False,False,False,False
0,73,165734,51,0,1,False,False,True,False,False,False,False,False
1,8,175407,2,5,1,False,False,False,False,False,False,False,False
1,90,70201,8,0,2,False,True,False,False,False,False,False,False
1,34,91503,26,0,6,False,False,False,False,False,False,False,False
0,10,184522,43,0,2,False,False,False,False,False,False,False,False
0,79,143560,83,1,3,False,False,False,False,False,False,False,False
1,83,131574,97,1,2,False,False,False,False,False,False,False,False
0,20,151124,18,15,3,False,False,False,False,False,False,False,False
0,25,67447,5,15,2,False,False,False,False,False,False,False,False
0,18,86203,23,13,1,True,False,False,False,False,False,False,False
0,7,136231,10,7,1,False,False,False,False,False,False,False,False
1,1,89144,1,12,2,True,False,False,False,False,False,False,False
0,86,163463,31,9,4,False,False,False,False,False,False,False,False
0,75,151696,82,15,1,False,False,False,False,False,False,False,False
1,78,184736,52,13,1,False,False,False,False,False,False,True,False
0,87,70419,69,6,4,False,False,False,False,False,True,False,False
0,8,119104,41,14,3,False,False,True,False,False,False,False,False
1,59,130950,28,5,3,False,False,False,True,False,False,False,False
1,13,140950,77,15,2,False,False,False,False,False,False,False,False
0,50,91389,92,11,7,False,False,False,False,True,False,False,False
1,54,186359,95,13,2,True,False,False,False,False,False,False,False
1,13,178989,46,14,3,True,False,False,False,False,False,False,False
1,79,166335,45,5,5,False,True,False,False,False,False,False,False
0,51,66852,73,15,3,False,False,False,True,False,False,False,False
1,21,187761,87,2,3,False,False,False,False,True,False,False,False
1,37,102717,93,7,4,False,False,False,False,True,False,False,False
1,83,102647,83,0,2,False,False,True,False,False,False,False,False
0,96,113585,31,0,4,False,False,False,False,False,False,True,False
0,65,86509,88,0,4,False,False,False,False,False,False,False,False
1,80,59099,44,1,7,False,False,False,False,False,False,False,True
0,75,135088,5,1,5,False,False,False,False,False,False,True,False
0,87,110870,78,1,4,False,True,False,False,False,False,False,False
0,86,187667,12,0,1,False,False,False,False,False,False,False,False
0,36,124614,25,8,5,False,False,False,False,False,False,False,False
0,78,166492,40,9,7,False,False,False,False,False,True,False,False
0,62,172758,69,1,2,False,False,True,False,False,False,False,False
1,89,122430,19,1,1,False,False,False,False,True,False,False,False
0,56,183540,96,0,6,False,False,True,False,False,False,False,False
0,35,96484,34,5,4,False,False,False,False,False,False,False,False
1,33,112587,71,1,4,False,False,False,False,False,False,False,False
0,58,155672,71,7,7,False,False,True,False,False,False,False,False
0,68,72847,93,1,2,False,False,False,False,False,False,False,False
1,38,71897,32,2,3,False,False,True,False,False,False,False,False
1,31,158479,57,1,5,True,False,False,False,False,False,False,False
1,90,89251,4,1,1,False,False,True,False,False,False,False,False
1,28,179911,24,1,1,False,True,False,False,False,False,False,False
1,1,111558,85,7,4,False,False,False,False,True,False,False,False
1,78,127615,78,10,7,False,False,False,True,False,False,False,False
0,23,50076,32,3,5,False,False,False,False,False,False,False,False
0,25,77779,62,4,1,False,False,False,False,False,False,False,False
1,59,169999,38,5,5,False,True,False,False,False,False,False,False
0,7,106581,76,1,7,True,False,False,False,False,False,False,False
0,24,78223,41,0,1,False,False,False,False,False,False,True,False
1,37,153399,93,1,6,False,False,True,False,False,False,False,False
0,6,162858,91,0,1,False,False,False,False,False,False,False,False
1,3,133602,47,1,1,False,False,False,False,False,False,False,False
0,95,66322,88,0,3,False,False,False,False,False,False,False,False
0,0,68761,16,1,4,False,False,False,False,False,False,True,False
1,7,70749,86,13,3,False,False,False,False,False,False,False,False
1,54,65874,87,7,6,False,False,False,False,False,False,False,False
1,89,115996,24,15,1,False,True,False,False,False,False,False,False
0,58,67097,91,6,1,False,True,False,False,False,False,False,False
0,12,108027,64,13,5,False,False,False,False,False,False,False,False
1,7,176349,80,8,2,False,False,False,False,True,False,False,False
1,11,88452,40,8,6,False,False,False,False,True,False,False,False
1,74,128266,55,7,4,False,True,False,False,False,False,False,False
0,64,156777,20,7,2,False,False,False,False,True,False,False,False
0,48,123234,50,10,7,False,False,False,False,False,False,True,False
0,8,60790,38,1,5,False,False,False,False,False,False,False,False
0,15,181332,99,14,6,False,False,False,False,False,False,False,False
1,1,187297,7,0,1,False,False,False,False,False,False,False,False
0,21,153885,86,6,6,False,False,False,False,False,False,False,False
1,84,53500,44,3,4,False,False,False,False,False,False,False,True
0,5,69443,28,4,6,True,False,False,False,False,False,False,False
0,47,124072,56,0,7,False,False,False,False,False,False,True,False
0,96,135800,29,0,7,False,False,False,False,True,False,False,False
1,93,120597,96,2,4,False,False,False,False,False,False,False,False
0,16,91358,11,1,4,False,False,True,False,False,False,False,False
1,56,53231,41,0,5,False,False,False,False,False,False,False,True
0,76,156330,31,1,2,False,True,False,False,False,False,False,False
1,0,186002,80,15,2,True,False,False,False,False,False,False,False
0,70,111760,53,12,5,False,False,False,True,False,False,False,False
0,47,143906,12,4,3,False,False,False,False,False,False,False,False
1,13,182410,22,11,4,False,False,False,False,True,False,False,False
1,86,98463,46,10,5,False,False,False,False,False,True,False,False
1,91,93762,28,15,7,False,False,False,False,False,False,False,False
1,97,104582,50,8,2,False,False,False,False,True,False,False,False
0,11,59202,92,5,4,False,False,False,False,True,False,False,False
0,28,79968,45,9,2,False,False,False,False,False,False,True,False
1,32,104824,42,0,7,False,False,False,False,False,False,False,False
1,82,188719,30,0,6,False,False,False,False,False,False,True,False
1,39,187536,66,3,6,False,False,False,False,True,False,False,False
1,7,134008,85,2,1,False,False,True,False,False,False,False,False
0,13,176397,71,6,3,False,False,False,False,False,False,False,False
0,34,154888,43,9,6,False,False,False,False,True,False,False,False
1,76,155622,81,0,2,False,False,False,False,True,False,False,False
0,30,62330,60,1,1,False,False,False,False,True,False,False,False
0,69,112838,34,1,7,False,False,False,False,True,False,False,False
1,22,58283,59,2,4,False,False,False,False,False,True,False,False
0,60,77857,81,1,6,False,False,False,False,False,False,False,False
