Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL
Jac J3 2021,"900,000 EGP",White,"240,000 Km",Jac,J3,6 October,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/jac/j3/6286737
Skoda Kodiaq 2023,"3,000,000 EGP",Dark grey,,Skoda,Kodiaq,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/kodiaq/6286718
MG 5 2022,"1,170,000 EGP",Black,"48,000 Km",MG,5,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286712
Hyundai Verna 2010,"285,000 EGP",White,"175,000 Km",Hyundai,Verna,Alexandria,2024-02-16,No,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286706
Chevrolet Lanos 2011,,Dark red,,Chevrolet,Lanos,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6286704
Toyota Corolla 2021,"1,500,000 EGP",Black,"82,500 Km",Toyota,Corolla,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6279740
Nissan Sunny 2022,"650,000 EGP",White,"150,000 Km",Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286692
Chevrolet Optra 2022,"90,000 EGP",Red,"85,000 Km",Chevrolet,Optra,Giza,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286685
Skoda Octavia A4 2003,"430,000 EGP",Black,"200,000 Km",Skoda,Octavia A4,Alexandria,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274731
Daewoo Nubira 2 2004,"280,000 EGP",Dark blue,"198,000 Km",Daewoo,Nubira 2,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6274769
Brilliance FRV 2009,,Silver,,Brilliance,FRV,Marsa Matrouh,2024-02-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/brilliance/frv/6274754
Kia Sephia 2000,"240,000 EGP",Silver,"250,000 Km",Kia,Sephia,Tagamo3 - New Cairo,2024-02-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/sephia/6286683
Changan Benni 2016,"300,000 EGP",Red,"37,000 Km",Changan,Benni,Helwan,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/changan/benni/6286668
Opel Astra 2020,"1,000,000 EGP",Silver,"96,500 Km",Opel,Astra,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6286677
Chery Tiggo 3 2022,"950,000 EGP",Dark grey,"70,000 Km",Chery,Tiggo 3,El Haram,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6286674
Mercedes E 250 2010,"1,650,000 EGP",Dark grey,"145,000 Km",Mercedes,E 250,6 October,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-250/6286667
Kia Forte 2010,"800,000 EGP",Mocha,"100,000 Km",Kia,Forte,Damanhur,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/forte/6286664
Jeep Liberty 2006,"660,000 EGP",Silver,"300,000 Km",Jeep,Liberty,El Haram,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/jeep/liberty/6274686
Daihatsu Grand terios 2009,"680,000 EGP",Black,"220,000 Km",Daihatsu,Grand terios,Warraq,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/daihatsu/grand-terios/6274691
Lada 1500 2020,"340,000 EGP",Brown,"63,000 Km",Lada,1500,Suez,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/lada/1500/6274665
Citroën C4 Picasso 2008,"550,000 EGP",Black,"170,000 Km",Citroën,C4 Picasso,Shibin el Kom,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/c4-picasso/6274706
Byd F3 2020,"480,000 EGP",Dark grey,"149,000 Km",Byd,F3,El Haram,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6286646
Renault Logan 2019,"620,000 EGP",Brown,"62,000 Km",Renault,Logan,Port Said,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6286650
Honda Accord 2022,"2,450,000 EGP",Petroleum,,Honda,Accord,Sohag,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/honda/accord/6286568
Kia Cerato 2011,"630,000 EGP",Silver,"140,000 Km",Kia,Cerato,Pyramids Gardens,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6276902
Jeep Renegade 2017,"1,100,000 EGP",White,"150,000 Km",Jeep,Renegade,Shobra,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jeep/Renegade/6278441
Hyundai Verna 2012,"380,000 EGP",Dark grey,"300,000 Km",Hyundai,Verna,10th of Ramadan,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286499
Mercedes E 200 2020,"3,800,000 EGP",Black,"87,000 Km",Mercedes,E 200,Sheikh Zayed City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-200/6225050
MG ZS 2022,"1,175,000 EGP",White,"48,000 Km",MG,ZS,Banha,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6274538
Mercedes C 200 2002,"735,000 EGP",White,"320,000 Km",Mercedes,C 200,Heliopolis,2024-02-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6286464
Kia Sportage 2021,"1,800,000 EGP",Black,"55,000 Km",Kia,Sportage,Mokattam,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6286442
Nissan Sunny 2019,"650,000 EGP",Silver,"85,000 Km",Nissan,Sunny,Monufia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286425
Fiat Punto 2010,"510,000 EGP",Black,"168,000 Km",Fiat,Punto,6 October,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/puntu/6286388
Opel Astra 2019,"1,000,200 EGP",Red,"29,000 Km",Opel,Astra,Qena,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6286641
Fiat 128 1999,"89,000 EGP",Blue,"100,000 Km",Fiat,128,Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/128/6283095
Seat Ibiza 2023,"1,950,000 EGP",Black,"27,000 Km",Seat,Ibiza,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/seat/ibiza/6286629
Byd F3 2021,"550,000 EGP",Red,"165,000 Km",Byd,F3,Cairo,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6286623
Mitsubishi Lancer EX Shark 2016,"780,000 EGP",Black,"157,000 Km",Mitsubishi,Lancer EX Shark,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6148013
Jeep Cherokee 2010,"950,000 EGP",Bronze,"165,000 Km",Jeep,Cherokee,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/cherokee/6194490
Chery Tiggo 7 2021,"1,300,000 EGP",Petroleum,"30,000 Km",Chery,Tiggo 7,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/6286614
Daewoo Nubira 2 2005,"310,000 EGP",Red,"220,000 Km",Daewoo,Nubira 2,El Minya,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6286611
Daewoo Lacetti 2003,"380,000 EGP",Black,"176,000 Km",Daewoo,Lacetti,Shibin El Qanater,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/daewoo/lacetti/6274631
Zotye T600 2019,"1,000,000 EGP",White,"35,000 Km",Zotye,T600,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/zotye/T600/6274635
Zotye 5008 2019,"950,000 EGP",White,"24,000 Km",Zotye,5008,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/zotye/zotye-5008/6274643
Renault Fluence 2013,"495,000 EGP",Gray,"230,000 Km",Renault,Fluence,Giza,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/renault/fluence/6286604
Hyundai Avante 2011,"530,000 EGP",Silver,"78,000 Km",Hyundai,Avante,Al Shorouk,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/hyundai/avante/6286593
Suzuki Ciaz 2022,"1,085,000 EGP",Brown,"45,000 Km",Suzuki,Ciaz,Pyramids Gardens,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/ciaz/6286601
Chevrolet Optra 2018,"550,000 EGP",Silver,"69,000 Km",Chevrolet,Optra,Mansoura,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286596
Renault Kadjar 2020,"1,070,000 EGP",Blue,"75,000 Km",Renault,Kadjar,El Manial,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6229344
Chevrolet Optra 2016,"520,000 EGP",Silver,"300,000 Km",Chevrolet,Optra,Shobra,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286586
Toyota Corolla 1995,"300,000 EGP",White,"200,000 Km",Toyota,Corolla,Sheikh Zayed City,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286572
Volkswagen Golf 2011,"580,000 EGP",Silver,"170,000 Km",Volkswagen,Golf,Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/golf/6286563
Kia Cerato 2018,"1,200,000 EGP",White,"47,000 Km",Kia,Cerato,Dikirnis,2024-02-16,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6286560
Speranza A620 2013,"395,000 EGP",Black,"155,000 Km",Speranza,A620,Monufia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/a620/6286562
Hyundai Verna 2017,"415,000 EGP",Red,"124,000 Km",Hyundai,Verna,Cairo,2024-02-16,No,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286556
Fiat 500C 2015,"800,000 EGP",White,"100,000 Km",Fiat,500C,Tagamo3 - New Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/500C/6280683
Jac S2 2018,,Black,"120,000 Km",Jac,S2,Nasr city,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/jac/s2/6286553
Toyota Corolla 2019,"1,330,000 EGP",White,"87,000 Km",Toyota,Corolla,Red Sea,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286538
Mercedes C 180 2002,"630,000 EGP",Dark blue,"230,000 Km",Mercedes,C 180,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-180/6140903
Skoda Octavia A4 2004,"445,000 EGP",Dark blue,"300,000 Km",Skoda,Octavia A4,Quesna,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274520
Hyundai Elantra AD 2017,"950,000 EGP",Silver,"72,000 Km",Hyundai,Elantra AD,Port Said,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6274539
Speranza A113 2010,"350,000 EGP",Silver,"52,000 Km",Speranza,A113,Tanta,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/a113/6274586
Kia Cerato 2008,"500,000 EGP",Silver,"185,000 Km",Kia,Cerato,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6274521
Renault Kadjar 2020,"1,290,000 EGP",Blue,"34,000 Km",Renault,Kadjar,Maadi,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6286424
Jeep Cherokee 2010,"850,000 EGP",Black,"211,000 Km",Jeep,Cherokee,El Manial,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/cherokee/6286335
MG ZS 2022,"1,325,000 EGP",Black,"25,400 Km",MG,ZS,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6286406
Senova A1 2015,"370,000 EGP",Blue,"200,000 Km",Senova,A1,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/senova/senova-a1/6268179
Nissan Sunny 2002,"360,000 EGP",Gold,"190,000 Km",Nissan,Sunny,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6273660
Jeep Liberty 2002,"440,000 EGP",Black,"290,000 Km",Jeep,Liberty,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/jeep/liberty/6277778
Jac JS4 2022,"1,100,000 EGP",Red,"30,000 Km",Jac,JS4,Damietta,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jac/JS4/6282486
Hyundai Tucson Turbo GDI 2019,"1,900,000 EGP",Silver,"120,000 Km",Hyundai,Tucson Turbo GDI,Madinaty,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Tucson-Turbo/6276353
Toyota Corolla 2019,"970,000 EGP",White,"91,000 Km",Toyota,Corolla,Qena,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286083
Toyota Corolla 2018,"1,100,000 EGP",White,"120,000 Km",Toyota,Corolla,Nasr city,2024-02-16,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286172
Hyundai Elantra AD 2017,"950,000 EGP",Silver,"72,000 Km",Hyundai,Elantra AD,Port Said,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6274539
Speranza A113 2010,"350,000 EGP",Silver,"52,000 Km",Speranza,A113,Tanta,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/a113/6274586
Kia Cerato 2008,"500,000 EGP",Silver,"185,000 Km",Kia,Cerato,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6274521
Brilliance FRV Cross 2010,"360,000 EGP",Red,"273,000 Km",Brilliance,FRV Cross,6 October,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/brilliance/frv-cross/6286535
Toyota Corolla 2022,"2,050,000 EGP",White,,Toyota,Corolla,Zagazig,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6286518
Renault Fluence 2013,"600,000 EGP",Black,"113,000 Km",Renault,Fluence,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/fluence/6286523
Peugeot 301 2014,"550,000 EGP",Dark grey,"137,000 Km",Peugeot,301,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/301/6286475
Brilliance X 30 2019,"400,000 EGP",White,"70,000 Km",Brilliance,X 30,Kom Hamada,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/brilliance/x-30/6286512
Skoda Octavia A8 2022,"2,200,000 EGP",Black,"30,000 Km",Skoda,Octavia A8,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/6286511
MG 6 2022,"1,500,000 EGP",White,"22,000 Km",MG,6,Nasr city,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-6/6286430
Toyota Corolla 2008,"650,000 EGP",White,"200,000 Km",Toyota,Corolla,Quesna,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6286509
Skoda Octavia A8 2024,"3,900,000 EGP",Black,"7,000 Km",Skoda,Octavia A8,El Haram,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A8/6286503
Peugeot 405 2007,"190,000 EGP",Dark grey,"143,000 Km",Peugeot,405,Imbaba,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/405/6286500
Chevrolet Optra 2009,"365,000 EGP",Blue,"370,000 Km",Chevrolet,Optra,Luxor,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286494
Speranza A620 2009,"335,000 EGP",Dark grey,"147,000 Km",Speranza,A620,Sharqia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/speranza/a620/6286491
Chevrolet Optra 2014,"515,000 EGP",White,"189,000 Km",Chevrolet,Optra,Mokattam,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6280590
Mercedes 200 1985,"300,000 EGP",Green,"100,000 Km",Mercedes,200,Mansoura,2024-02-15,Yes,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/200/6286487
MG 5 2020,"640,000 EGP",Black,"90,000 Km",MG,5,Dokki,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286484
Speranza A620 2008,"325,000 EGP",Black,"195,000 Km",Speranza,A620,Sharqia,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/speranza/a620/6286478
Speranza A620 2007,"315,000 EGP",Silver,"142,000 Km",Speranza,A620,Sharqia,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/speranza/a620/6286472
Fiat Tipo 2021,"1,100,000 EGP",Gray,"49,800 Km",Fiat,Tipo,Tagamo3 - New Cairo,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6274497
Peugeot 301 2016,"650,000 EGP",Brown,"97,000 Km",Peugeot,301,Tagamo3 - New Cairo,2024-02-15,Yes,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/301/6274463
Peugeot 301 2018,"785,000 EGP",Bronze,"37,000 Km",Peugeot,301,Tagamo3 - New Cairo,2024-02-15,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/peugeot/301/6274439
Mitsubishi Lancer EX Shark 2016,"800,000 EGP",Silver,"185,000 Km",Mitsubishi,Lancer EX Shark,Cairo,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6274385
Chevrolet Optra 2006,"425,000 EGP",White,"280,000 Km",Chevrolet,Optra,Ismailia,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6274490
Opel Astra 2012,"725,000 EGP",Blue,"70,000 Km",Opel,Astra,Cairo,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6286455
Mitsubishi Lancer 2016,"800,000 EGP",Black,"140,000 Km",Mitsubishi,Lancer,Cairo,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/lancer/6286449
Mitsubishi Lancer Puma 2008,"530,000 EGP",Silver,"213,000 Km",Mitsubishi,Lancer Puma,Faiyum,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6286446
Isuzu D max 2023,"2,000,000 EGP",Dark grey,"40,000 Km",Isuzu,D max,Mit Ghamr,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/isuzu/dmax/6286434
MG ZS 2021,"950,000 EGP",Red,"95,000 Km",MG,ZS,Maadi,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6286431
Geely Emgrand X7 2019,"960,000 EGP",White,"35,000 Km",Geely,Emgrand X7,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand-x7/6140721
Saipa Pride 2014,"270,000 EGP",Gray,"108,000 Km",Saipa,Pride,6 October,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/saipa/saipa-pride/6216090
Chery Arrizo 5 2021,"565,000 EGP",White,"106,000 Km",Chery,Arrizo 5,Suez,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6285930
Hyundai Accent RB 2017,"680,000 EGP",Black,"130,000 Km",Hyundai,Accent RB,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/6274574
Mitsubishi Lancer EX Shark 2014,"770,000 EGP",Dark red,"150,000 Km",Mitsubishi,Lancer EX Shark,Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-EX-Shark/6271838
Nissan Sunny 2020,"600,000 EGP",Black,"190,000 Km",Nissan,Sunny,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286080
Mercedes C 180 2024,"4,900,000 EGP",White,,Mercedes,C 180,Tagamo3 - New Cairo,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/c-180/6277443
Chevrolet Cruze 2013,"535,000 EGP",Eggplant,"170,000 Km",Chevrolet,Cruze,Obour City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/cruze/6286065
Skoda Fabia 2012,"330,000 EGP",Silver,"220,000 Km",Skoda,Fabia,Nasr city,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/fabia/6286059
Kia Rio 2013,"600,000 EGP",Black,"185,000 Km",Kia,Rio,Obour City,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/kia/rio/6286050
MG 5 2021,"950,000 EGP",Black,"65,000 Km",MG,5,Alexandria,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286415
Volkswagen Passat 2002,"328,000 EGP",Cyan,"400,000 Km",Volkswagen,Passat,Cairo,2024-02-15,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/volks-wagen/passat/6286412
Peugeot 406 2001,"295,000 EGP",Gold,"186,000 Km",Peugeot,406,Qalyubia,2024-02-15,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/peugeot/406/6280478
Chery Tiggo 7 2021,"1,200,000 EGP",Gray,"33,000 Km",Chery,Tiggo 7,Alexandria,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/6280443
Suzuki Maruti 2011,"195,000 EGP",Silver,"53,000 Km",Suzuki,Maruti,Damietta,2024-02-15,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/maruti/6286394
Canghe Q35 2018,"680,000 EGP",Bronze,"183,000 Km",Canghe,Q35,Hurghada,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/changhe/Q35/6286395
Jac J7 2021,"1,050,000 EGP",White,"48,000 Km",Jac,J7,Alexandria,2024-02-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/jac/J7/6286398
Mercedes C 200 2009,"1,150,000 EGP",Silver,"220,000 Km",Mercedes,C 200,Cairo,2024-02-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6286391
